app,b0_n,b0_success,b0_p50_ms,b0_p95_ms,b0_mpix,b1_n,b1_success,b1_p50_ms,b1_p95_ms,b1_mpix,p50_reduction_pct,obs_reduction_pct
xterm,8,8,218.8633124997068,239.2458643997088,3.072,8,8,16.234306499427476,18.56894109987479,1.024,92.58244503657997,66.66666666666667
chromium,8,8,342.1222340011809,564.039326249076,4.096,8,8,165.9875955001553,182.36137824951584,1.024,51.48295579655827,75.0
calc,8,7,550.6647305001025,2182.673625049118,6.144,8,8,114.77672099954361,158.5733059996528,2.048,79.15669650836259,66.66666666666667
inkscape,8,4,1376.9038589998672,2398.1839712497276,4.096,8,8,168.3298759999161,179.33930805056661,1.024,87.77475457711442,75.0
