strategy,run,n,success,defs,invalidations,fallbacks,planner_bytes_mean,observed_mpix_mean,wall_p50_ms,wall_p95_ms,wall_p99_ms
invalidate,invalidate_1201,24,24,3,2,3,32.333333333333336,0.6929218333333333,167.24767350001457,196.61746200006291,598.980273000052
invalidate,invalidate_1202,24,24,5,5,7,37.958333333333336,1.432886625,171.26943049999,591.0218190000478,591.0522430000356
invalidate,invalidate_1203,24,24,2,1,1,29.583333333333332,0.41380225,167.92632750002667,179.5499209999889,181.38053600000603
route_suspend,route_suspend_1201,24,24,1,1,1,24.041666666666668,0.4179705,168.2261664999487,175.6557950000115,176.08631699999933
route_suspend,route_suspend_1202,24,24,1,1,1,24.041666666666668,0.3942574583333333,166.84530800006314,175.53941199992096,176.54512599995087
route_suspend,route_suspend_1203,24,24,1,1,1,24.041666666666668,0.4084524583333333,169.24796999995806,177.76984599993284,181.5524969999842
