id,rep,scenario,policy,reason,applied,task_correct,effect_met,wrong_publication,preserved_on_refusal
r03-write_conflict-scope_only,3,write_conflict,scope_only,write_conflict,False,True,False,False,True
r03-write_conflict-scope_and_postcondition,3,write_conflict,scope_and_postcondition,write_conflict,False,True,False,False,True
r03-read_conflict-scope_only,3,read_conflict,scope_only,read_conflict,False,True,False,False,True
r03-read_conflict-scope_and_postcondition,3,read_conflict,scope_and_postcondition,read_conflict,False,True,False,False,True
r03-extra_change-scope_and_postcondition,3,extra_change,scope_and_postcondition,scope_mismatch,False,True,False,False,True
r03-extra_change-scope_only,3,extra_change,scope_only,scope_mismatch,False,True,False,False,True
r03-correct-scope_and_postcondition,3,correct,scope_and_postcondition,applied,True,True,True,False,False
r03-correct-scope_only,3,correct,scope_only,applied,True,True,True,False,False
r03-no_op-scope_only,3,no_op,scope_only,scope_mismatch,False,True,False,False,True
r03-no_op-scope_and_postcondition,3,no_op,scope_and_postcondition,scope_mismatch,False,True,False,False,True
r03-target_deleted-scope_and_postcondition,3,target_deleted,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r03-target_deleted-scope_only,3,target_deleted,scope_only,applied,True,False,False,True,False
r03-wrong_mode-scope_only,3,wrong_mode,scope_only,applied,True,False,False,True,False
r03-wrong_mode-scope_and_postcondition,3,wrong_mode,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r03-ref_race-scope_and_postcondition,3,ref_race,scope_and_postcondition,cas_rejected,False,True,False,False,True
r03-ref_race-scope_only,3,ref_race,scope_only,cas_rejected,False,True,False,False,True
