strategy,seed,success,n,defs,reheats,route_failures,binding_failures,binding_repairs,semantic_invalidations,guard_deopts,fallbacks,planner_bytes_mean,obs_mpix_mean,wall_p50_ms,wall_p95_ms,wall_p99_ms
layered,711,24,24,1,2,1,1,1,0,0,1,38.875,0.256,107.42091500014794,212.66729199987822,251.31074399996578
layered,712,24,24,1,2,1,1,1,0,0,1,38.791666666666664,0.256,105.18854549991374,210.44110699995144,221.3126420001572
layered,713,24,24,1,2,1,1,1,0,0,1,38.833333333333336,0.256,108.27954649994354,211.94946900004652,233.23393900000156
layered_guarded,711,24,24,1,2,0,1,1,0,1,1,38.875,0.256,109.8230650000005,173.38431100006346,201.95978200035825
layered_guarded,712,24,24,1,2,0,1,1,0,1,1,38.791666666666664,0.256,108.13927699996384,161.77623500016125,203.4912419999273
layered_guarded,713,24,24,1,2,0,1,1,0,1,1,38.833333333333336,0.256,106.37004749969492,163.71240499984197,200.81725799991546
