app,strategy,n,success,candidate_observations,model_visible_observations,suppressed_observations,captured_pixels,model_visible_pixels,false_suppressions,task_wall_p50_ms,task_wall_p95_ms,task_wall_p99_ms,first_feedback_p50_ms,first_feedback_p95_ms,first_feedback_p99_ms,compare_p50_ms,compare_p95_ms,compare_p99_ms
calc,O0,4,4,29,29,0,29696000,29696000,0,117.58538949999999,138.62041115,141.06900382999999,14.078155500000001,18.5975926,18.98001832,0.0,0.0,0.0
calc,O1,4,4,30,17,13,30720000,17408000,0,131.54287,134.67251205000002,134.92597041000002,13.672864,18.68496685,19.228310399999998,0.067179,0.3667651999999998,0.40287962000000005
chromium,O0,4,4,47,47,0,48128000,48128000,0,341.1266275,350.1396804,351.28845767999996,16.561193000000003,77.53975495,78.80386219,0.0,0.0,0.0
chromium,O1,4,4,48,47,1,49152000,48128000,0,343.4692665,354.75952075,355.71479695,18.2702455,76.84063710000001,78.38596182,0.0109235,0.03488035,0.14959367000000023
inkscape,O0,4,4,31,31,0,31744000,31744000,0,269.189548,284.7914832,284.98958544,14.603842499999999,68.71512875,72.19113214999999,0.0,0.0,0.0
inkscape,O1,4,4,28,20,8,28672000,20480000,0,254.789968,285.47774225,288.84111965,13.962124,70.89637375,71.47796035,0.032207,0.36237379999999997,0.6564979200000002
xterm,O0,4,4,12,12,0,12288000,12288000,0,56.3899345,56.7479358,56.78090316,18.76174,29.2468847,29.416188939999998,0.0,0.0,0.0
xterm,O1,4,4,12,11,1,12288000,11264000,0,54.458305499999994,55.024868600000005,55.09514972,21.115021499999997,27.5250563,27.62829846,0.0806695,0.25829239999999987,0.3479080800000001
all,O0,16,16,119,119,0,121856000,121856000,0,194.770895,344.39579399999997,350.1396804,15.1876925,74.71587215,78.00547867,0.0,0.0,0.0
all,O1,16,16,118,95,23,120832000,97280000,0,173.812121,349.98313974999996,354.75952075,15.5475765,73.44850629999999,77.40996726,0.0218755,0.3333249499999999,0.40290626
